ID,DESCRIPCION,RESP_OK,R1,R2,R3
133,1 rol de canela de 60 gramos:,200,141,312,200
134,1 tamal de carne de 80 gramos aporta:,365,207,239,365
135,2 waffles con fruta aportan:,270,270,270,110
136,1 paleta helada de vainilla con chocolate y almendras aporta:,320,160,317,320
137,1/2 taza de cereal  aporta:,51,21,51,17
138,100 gramos de elotes con crema y queso aportan:,170,32,170,65
139,1 taza de lasaña de carne aporta:,333,218,303,333
140,210 gramos de spaguetti aporta:,208,51,208,149
141,1 taza de 240 ml de ponche de frutas aporta:,108,87,50,108
142,1 hot dog aporta:,333,58,57,333
143,1 rebanada de pan blanco con mermelada aporta:,112,112,66,54
144,1 bebida de tapioca aporta:,400,291,310,400
145,2 cucharaditas de miel aportan:,43,43,89,47
146,300 gramos de ravioles rellenos con carne y salsa aportan:,550,550,798,295
147,1/2 taza de garbanzo cocido con verduras aporta:,135,96,172,135
148,1/2 taza de soya cocida con verduras aporta:,65,37,53,65
149,1/2 taza de lentejas aporta:,115,115,91,76
150,1 litro de michelada aporta:,494,580,50,494
151,100 gramos de charales aportan:,327,278,327,432
152,100 gramos de atun aporta:,143,132,100,143
153,2 tacos de barbacoa medianos aportan:,333,107,333,203
154,1 bombon con chocolate aporta:,70,70,13,57
155,1 banderilla aporta:,460,460,576,192
156,1 rebanada de 40 gramos de panela aporta:,58,59,40,58
157,7 nueces de la india aportan:,66,109,66,44
158,1 vaso de 300 ml de piña colada aporta:,165,49,165,105
159,2  bombones aportan:,45,63,22,45
160,1 copa de vino tinto de 100 ml aporta:,65,15,65,45
161,1 quesadilla con queso bajo en grasa aporta:,107,150,56,107
162,125 gramos de rajas con crema aporta:,139,139,40,59
163,100 gramos de chuleta de cerdo aporta:,231,231,33,248
164,1 salchicha aporta:,152,152,115,101
165,1 rebanada de jamon aporta:,27,14,8,27
166,2 molletes aportan:,380,380,545,77
167,1/2 taza de flan aporta:,193,49,193,183
168,100 gramos de camaron empanizado aporta:,242,242,310,246
169,1 filete de salmon mediano a la parrilla aporta:,243,44,243,121
170,25 gramos de galletas de nuez aportan:,125,69,29,125
171,1 pan de muerto chico aporta:,220,220,241,168
172,1 chile en nogada aporta:,450,276,571,450
173,1 vaso de 240 ml de agua de tamarindo con azúcar aporta:,40,51,40,42
174,1 dulce de tamarindo aporta:,37,53,35,37
175,160 gramos de chilaquiles aporta:,270,266,16,270
176,240 gramos de paella aporta:,379,120,379,125
177,40 gramos de nieve de fresa aporta:,40,27,24,40
178,1 taza de fresas con crema aporta:,250,250,105,214
179,1 banana split aporta:,530,530,101,477
180,1 taza de de 240 ml de agua de sandia con azucar aporta:,79,82,95,79
181,1 filete de pescado mediano zarandeado:,315,315,321,222
182,1 taza de caldo de pescado con verduras aporta:,51,22,44,51
183,1 lata de cerveza light aporta:,153,153,161,163
184,12 piezas de lichis aportan:,59,100,36,59
185,1 taza de maracuya aporta:,132,132,88,97
186,30 gramos de pasitas aportan:,90,49,90,51
187,30 gramos de pasitas con chocolate aportan:,160,176,160,115
188,1 croissant aporta:,232,213,242,232
189,1 sandwich de nieve aporta:,169,30,118,169
190,1 empanada de carne aporta:,263,45,94,263
191,4 galletas saladas aporta:,69,38,69,95
192,28 gramos de pretzels aportan:,109,73,109,155
193,55 ml de whisky a las rocas aporta:,128,108,71,128
194,100 gramos de chop suey aporta:,172,172,149,144
195,1 quesadilla mediana frita con queso y salsa aporta:,280,134,382,280
196,1 taza de 240 ml de caldo de pollo desgrasado aporta:,11,3,11,4
197,100 gramos de salpicon de res aporta:,101,58,101,73
198,3/4 taza de picadillo de res aporta:,248,248,252,107
199,1 taza de 240 ml de sopa de tortilla aporta:,99,33,14,99
200,100 gramos de ceviche de soya aporta:,90,106,90,38
201,100 gramos de aguachile aporta:,107,130,126,107
202,2 nopales asados con queso bajo en grasa aportan:,146,19,146,122
